query,link,title
землетрясение в алматы,https://dknews.kz/ru/eksklyuziv-dk/376856-pochemu-almaty-prodolzhaet-verit-sluham-o,Почему Алматы продолжает верить слухам о “разрушительном ...
землетрясение в алматы,https://tengrinews.kz/kazakhstan_news/zemletryasenie-proizoshlo-v-46-kilometrah-ot-almatyi-590074/,Землетрясение произошло в 46 километрах от Алматы
землетрясение в алматы,https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%BB%D0%B5%D1%82%D1%80%D1%8F%D1%81%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%90%D0%BB%D0%BC%D0%B0-%D0%90%D1%82%D0%B5,Землетрясения в Алма-Ате - Википедия
землетрясение в алматы,https://voshod-solnca.ru/earthquake/%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D1%8B,"Карта землетрясений сегодня (Алматы, Казахстан)"
землетрясение в алматы,https://www.volcanodiscovery.com/ru/zemletryaseniya/kazahstan/almati.html,"Последние землетрясения, Алматы, за последние 30 дней"
землетрясение в алматы,https://el.kz/ru/samoe_strashnoe_zemletryasenie_v_istorii_almati_252/,Самое страшное землетрясение в истории Алматы - El.kz
землетрясение в алматы,https://rus.azattyq.org/a/32871809.html,Землетрясение в Алматы: в 2023 году было закуплено ... - Азаттык
землетрясение в алматы,https://www.zakon.kz/stati/6427518-zemletryaseniya-v-almaty-kazakhstanskiy-seysmolog-vyskazalsya-o-prognozakh-svoikh-kolleg.html,Землетрясения в Алматы: казахстанский сейсмолог высказался ...
магнитуда землетрясение в алматы,https://www.aa.com.tr/ru/%D0%BC%D0%B8%D1%80/%D0%BD%D0%B0-%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8-%D0%BA%D0%B8%D1%82%D0%B0%D1%8F-%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%BE%D1%88%D0%BB%D0%BE-%D0%B7%D0%B5%D0%BC%D0%BB%D0%B5%D1%82%D1%80%D1%8F%D1%81%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D0%BE%D0%B5-%D0%BE%D1%89%D1%83%D1%82%D0%B8%D0%BB%D0%B8-%D0%B2-%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D1%8B/3761964,"На территории Китая произошло землетрясение, которое ..."
магнитуда землетрясение в алматы,https://dknews.kz/ru/v-strane/376600-v-almaty-proizoshlo-zemletryasenie-magnitudoy-6-7,"В Алматы произошло землетрясение магнитудой 6,7 — данные ..."
магнитуда землетрясение в алматы,https://rus.azattyq.org/a/32787857.html,Как алматинцы пережили ночное землетрясение - Азаттык
магнитуда землетрясение в алматы,https://tengrinews.kz/kazakhstan_news/almatintsam-prishlo-uvedomlenie-o-zemletryasenii-583905/,Алматинцам пришло уведомление о землетрясении - Tengrinews
магнитуда землетрясение в алматы,https://prg.kz/document/?doc_id=31323760,Землетрясение магнитудой 6.6 произошло в 225 км от Алматы
магнитуда землетрясение в алматы,https://tengrinews.kz/kazakhstan_news/poyavilis-dannyie-o-sile-zemletryaseniya-v-almatyi-587244/,Появились данные о силе землетрясения в Алматы - Tengrinews
магнитуда землетрясение в алматы,https://ru.sputnik.kz/20240225/v-almaty-pochuvstvovali-zemletryasenie-42485286.html,"В Алматы почувствовали землетрясение - 25.02.2024, Sputnik ..."
эпицентр землетрясение в алматы,https://rus.azattyq.org/a/dvuhballnoe-zemletryasenie-proizoshlo-v-almaty-epitsentr-raspolozhen-v-kyrgyzstane/33436461.html,"Двухбалльное землетрясение произошло в Алматы, эпицентр ..."
эпицентр землетрясение в алматы,https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%BB%D0%B5%D1%82%D1%80%D1%8F%D1%81%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%A1%D0%B8%D0%BD%D1%8C%D1%86%D0%B7%D1%8F%D0%BD%D0%B5_(2024),Землетрясение в Синьцзяне (2024) - Википедия
эпицентр землетрясение в алматы,https://www.gov.kz/memleket/entities/emer/press/news/details/719139?lang=ru,Информация о землетрясении - GOV.KZ
эпицентр землетрясение в алматы,https://kndc.kz/index.php/home-ru/kndcnews/227-operativnaya-informatsiya-o-proizoshedshem-zemletryasenii-23-01-2024-g,Оперативная информация о произошедшем землетрясении ...
эпицентр землетрясение в алматы,https://tengrinews.kz/kazakhstan_news/opoveschenie-zemletryasenii-almatyi-dchs-soobschili-583908/,Подробности о землетрясении в районе Алматы - Tengrinews
